id_str,full_text,created_at,lang,favorite_count,retweet_count,reply_count,quote_count
2048094731188752621,@USER Jangan takut kompetisi jangan takut kompetisi. Berak. Sono ngomong ke temen lu Bahlil. SPBU luar sangat dibatesin geraknya buat usaha disini. Ngomong jg ke org dpr yg punya grup singa terbang yg memonopoli banyak rute lokal. Giliran dosen disuruh kompetisi. ,Sat Apr 25 17:40:10 +0000 2026,in,0,0,0,0
2048091815044403416,BAHLIL ANJ,Sat Apr 25 17:28:35 +0000 2026,in,0,0,0,0
2048090772789149757,@USER Ya ga paham adiknya Bahlil berarti,Sat Apr 25 17:24:26 +0000 2026,in,0,0,0,0
2048087470001258666,Mau pake tumbler partai ada muka bahlil segede gaban dan kalaupun itu satu satunya yang gua punya akan tetap gua bawa apa urusannya sama pikiran orang bodo amat lah Pls stop mikirin perasaan orang lain itu hal utama drpd diri lo sendiri your life matters.,Sat Apr 25 17:11:19 +0000 2026,in,0,0,0,0
2048086473547862035,@USER Buzernya bahlil itu kah bon?,Sat Apr 25 17:07:21 +0000 2026,in,0,0,0,0
2048086033158545604,Warning lebih banyak dari hasil kerja Bahlil tapi masih dikira game yang aman buat bocil tolol https://t.co/diTB1jyNhs,Sat Apr 25 17:05:36 +0000 2026,in,0,0,0,0
2048085648385687859,@USER adiknya bahlil berarti,Sat Apr 25 17:04:04 +0000 2026,in,1,0,1,0
2048082529329270898,jelek bgt sinyal kek muka bahlil,Sat Apr 25 16:51:41 +0000 2026,in,0,0,0,0
2048079943377256839,@USER Banyak2 dengerin kasir negara pur ngomong dah. Kalo belon puas dengerin Dadan. Masih kurang? Dengerin Bahlil. Dijamin . Anda akan merasa lebih waras dari mereka ,Sat Apr 25 16:41:24 +0000 2026,in,0,0,0,0
2048078560423022860,@USER pak tedi mah baik cuma di bahlil itu yg harus dan harus dibuang nyusahin rakyat mulu,Sat Apr 25 16:35:54 +0000 2026,in,0,0,0,0
2048077817145970770,@USER @USER Haha gambar Bahlil asli yang cerah banget tadi itu loh! Yang di reply sebelumnya. Dah capek ya? Oke deh mending nonton JKT48 bareng Marsha-nya. Lucu banget sih! Kalau mau edit ulang bilang aja ya ,Sat Apr 25 16:32:57 +0000 2026,in,0,0,0,0
2048077206090326086,@USER @USER Haha bener juga editannya kurang mirip ya? Maaf salah pasang muka. Ini Bahlil Lahadalia asli yang cerah banget kayak di GIF-mu! ,Sat Apr 25 16:30:32 +0000 2026,in,0,0,1,0
2048077070589423708,gamau di samain sm bahlil ,Sat Apr 25 16:29:59 +0000 2026,in,0,0,0,0
2048076475350347875,@USER @USER Sudah diedit jadi Bahlil Lahadalia ya! Cerah banget juga nih. https://t.co/TjO7zNFDap,Sat Apr 25 16:27:37 +0000 2026,in,0,0,1,0
2048071927512920419,Fakkk abis liat salasatu komen di tt MBG: mas bahlil ganteng ,Sat Apr 25 16:09:33 +0000 2026,in,0,0,0,0
2048071820629426351,@USER Cari bahlil,Sat Apr 25 16:09:08 +0000 2026,in,0,0,0,0
2048071720804995333,@USER de bahlil lelaw,Sat Apr 25 16:08:44 +0000 2026,in,0,0,1,0
2048070089514373620,@USER Emang Bahlil udah ngelarang kangen sama temen ya? ,Sat Apr 25 16:02:15 +0000 2026,in,0,0,1,0
2048069357323125088,side nya apa tuh? kalo bahlil saya gak mau.,Sat Apr 25 15:59:20 +0000 2026,in,0,0,0,0
2048068109270196626,Pengen ganti nama jadi Dinda biar dipanggilin mulu sama Kanda (Bahlil).,Sat Apr 25 15:54:23 +0000 2026,in,0,1,0,1
2048067132269969688,BGN MBG PRABOWO GIBRAN BAHLIL DADAN DAN SPPG ADALAH WORD TRIGGER BAGI GW,Sat Apr 25 15:50:30 +0000 2026,in,0,0,1,0
2048066036084465776,w kira bahlil anjing,Sat Apr 25 15:46:08 +0000 2026,in,0,0,1,0
2048065639760515278,@USER Ponakannya bahlil begini nih.,Sat Apr 25 15:44:34 +0000 2026,in,0,0,1,0
2048064332706320858,Pemerintah tetap menjaga stabilitas energi nasional. Menteri ESDM Bahlil Lahadalia menegaskan BBM subsidi tetap dilindungi untuk masyarakat #berita #bahlillahadalia #darirakyatuntukenergi #esdmfu https://t.co/PQ7m2q6H3X,Sat Apr 25 15:39:22 +0000 2026,in,0,0,0,0
2048061530923798730,@USER 2 menteri terbodoh @USER 1. Bahlil 2. Purbaya Menteri Keuangan pelawak,Sat Apr 25 15:28:14 +0000 2026,in,0,0,0,0
2048061313801457965,@USER @USER Ibu peri lebih baik balik ke khayangan lagi soalnya di bumi ada Bahlil. ,Sat Apr 25 15:27:23 +0000 2026,in,0,0,1,0
2048057846957592833,@USER Kamu aja sana kan matching ntu Belle x Bahlil.,Sat Apr 25 15:13:36 +0000 2026,in,0,0,0,0
2048057674345132424,Setelah liat pernyataannya Bahlil tentang baca buku gw udah gak heran kok kalo rezim ini bikin kebijakan kayak gini.,Sat Apr 25 15:12:55 +0000 2026,in,0,0,0,0
2048057005651447828,@USER Saya lapor Anda ke Pak Bahlil ,Sat Apr 25 15:10:15 +0000 2026,in,0,0,1,0
2048056312530190771,@USER @USER @USER @USER @USER @USER mahasiswa bahlil,Sat Apr 25 15:07:30 +0000 2026,in,0,0,2,0
2048055975148671145,@USER Astaghfirullah kak ini mah udh jelas2 bullying gaada merasa bersalahnya jg. Kalo mereka sindir2an lagi blgin gini selama ini berarti kalian tuh sadar dong kalo berisik dan ganggu kenyamaan orang? Kalo mau teriak2 mending ngekos di hutan aja dan semoga jodoh lu mirip bahlil ,Sat Apr 25 15:06:10 +0000 2026,in,175,1,1,0
2048054933115601253,Damn. Selamat datang fasisme. Makin mengamplifikasi komentar Bahlil soal Udah bukan ilmu buku lagi dismissing ahli anti-intelektualisme,Sat Apr 25 15:02:01 +0000 2026,in,6,2,0,0
2048054273632854504,@USER usn @USER nyebut bahlil sekali kiamat maju satu abad,Sat Apr 25 14:59:24 +0000 2026,in,0,0,0,0
2048053576484991151,@USER foto bahlil terima ga?,Sat Apr 25 14:56:38 +0000 2026,in,1,0,0,0
2048053345454309382,Ada tulisan khusus yg isinya ilmu utk mendidik gak dibaca giliran fanfic malah disuruh jadi tulisan yg mendidik. Negara udh tebolak balik emang efek bahlil,Sat Apr 25 14:55:43 +0000 2026,in,0,0,0,0
2048051556617232839,Iteman gw apa bahlil,Sat Apr 25 14:48:36 +0000 2026,in,0,0,0,0
2048050347827175463,@USER @USER Wkwkwk.. gw aja gak ngerti cara nya.. Yg ptg puas aja Punya hobby bacotin Bahlil!! Duit Yahudi jd gak pentink ,Sat Apr 25 14:43:48 +0000 2026,in,1,0,0,0
2048045678707032124,@USER Bahlil datang mau borong buat jumat berkah boleh gak min,Sat Apr 25 14:25:15 +0000 2026,in,0,0,0,0
2048045174161580528,Kata gua mah ngedadak sih ngedadak tapi kagak gini juga lah bahlil,Sat Apr 25 14:23:15 +0000 2026,in,0,0,0,0
2048043533807034735,@USER Percuma ganti. Kalo aslinya susunan kabinet cuma: 1. Prabowo 2. Teddy 3. Kepala BGN 4. Bahlil. Yg lain pajangan doang . Ga ngefek,Sat Apr 25 14:16:43 +0000 2026,in,13,2,0,0
